"s_no","Company","TypeName","Inches","resolution_width","resolution_height","resolution_category","PPI","is_touch_screen","cpu_brand","cpu_name","cpu_speed","cpu_series","cpu_tier","Ram(Gb)","memory_type","primary_storage","secondary_storage","gpu_brand","gpu_name","OpSys","Weight(kg)","Price","price_segment"
339,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce 940MX","windows",2.0,60886.0,"upper_mid_range"
340,"Dell","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",4,"HDD",500,0,"Intel"," HD Graphics","linux",2.2,14647.0,"budget"
341,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"AMD"," A12-Series 9720P ",3.6,"A12","Standard",12,"HDD",2048,0,"AMD"," Radeon 530","windows",2.2,47899.0,"mid_range"
342,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",8,"HDD",1024,0,"Nvidia"," GeForce 930MX ","windows",2.1,38148.0,"mid_range"
343,"Lenovo","2 in 1 Convertible",13.9,3840,2160,"4K",317,1,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"SSD",512,0,"Intel"," UHD Graphics 620","windows",1.4,111835.0,"premium"
344,"Dell","Ultrabook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.2,84129.0,"premium"
345,"Lenovo","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,2048,"Nvidia"," GeForce GTX 1050 Ti","windows",2.4,60153.0,"upper_mid_range"
346,"HP","Notebook",14.0,1366,768,"HD",112,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",2,"Flash storage",32,0,"Intel"," HD Graphics 400","windows",1.44,14865.0,"budget"
347,"Dell","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8650U ",1.9,"Core i7","Elite",16,"Hybrid",512,256,"Intel"," UHD Graphics 620","windows",1.88,85672.0,"premium"
348,"Asus","2 in 1 Convertible",11.6,1366,768,"HD",135,1,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",4,"Flash storage",32,0,"Intel"," HD Graphics 500","windows",1.5,19980.0,"budget"
349,"Dell","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"HDD",1024,0,"AMD"," Radeon 530","windows",2.2,35325.0,"mid_range"
351,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.84,69477.0,"upper_mid_range"
352,"MSI","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1060","windows",2.7,75072.0,"upper_mid_range"
353,"HP","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," Quadro M1200","windows",2.6,92615.0,"premium"
354,"Toshiba","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 6500U ",2.5,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," GeForce 930M","windows",2.4,74752.0,"upper_mid_range"
355,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"Hybrid",128,2048,"AMD"," Radeon 530","windows",2.02,51730.0,"mid_range"
356,"Lenovo","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",4,"HDD",1024,0,"Intel"," HD Graphics 500","no OS",2.2,17156.0,"budget"
357,"Dell","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7300HQ ",2.5,"Core i5","Performance",8,"HDD",1024,0,"Nvidia"," GeForce GTX 1050","windows",2.65,53227.0,"upper_mid_range"
358,"Dell","Notebook",15.6,1366,768,"HD",100,1,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",2048,0,"Intel"," HD Graphics 620","windows",2.36,29697.0,"budget"
359,"Dell","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7300U ",2.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.36,76031.0,"upper_mid_range"
360,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",500,0,"Intel"," HD Graphics 520","windows",1.86,23390.0,"budget"
361,"Asus","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",2.0,50350.0,"mid_range"
362,"Lenovo","Notebook",17.3,1600,900,"HD",106,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",6,"Hybrid",128,1024,"Nvidia"," GeForce GTX 940MX","windows",2.8,38308.0,"mid_range"
363,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",1024,0,"Intel"," HD Graphics 620","windows",1.86,34046.0,"mid_range"
364,"Lenovo","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",8,"SSD",256,0,"Nvidia"," GeForce 920MX ","no OS",2.2,26587.0,"budget"
365,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Pentium Quad Core N3710 ",1.6,"Pentium","Standard",8,"HDD",2048,0,"Intel"," HD Graphics 405","windows",2.04,20726.0,"budget"
366,"Dell","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"Hybrid",128,1024,"AMD"," Radeon 530","windows",2.8,57809.0,"upper_mid_range"
367,"Lenovo","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7300HQ ",2.5,"Core i5","Performance",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050","no OS",2.4,43104.0,"mid_range"
368,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon R7 M445","windows",2.33,47899.0,"mid_range"
369,"HP","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.36,93240.0,"premium"
370,"Asus","2 in 1 Convertible",15.6,1920,1080,"Full HD",141,1,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",12,"Hybrid",512,2048,"Nvidia"," GeForce GT 940MX","windows",2.26,58555.0,"upper_mid_range"
371,"Acer","Notebook",15.6,1366,768,"HD",100,0,"AMD"," A9-Series 9420 ",3.0,"A9","Standard",4,"SSD",128,0,"AMD"," Radeon R5","windows",2.1,22697.0,"budget"
372,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"AMD"," Ryzen 1700 ",3.0,"Ryzen","Performance",16,"Hybrid",256,1024,"AMD"," Radeon RX 580","windows",3.25,117163.0,"premium"
373,"Lenovo","Notebook",17.3,1600,900,"HD",106,0,"AMD"," A8-Series 7410 ",2.2,"A8","Standard",4,"SSD",128,0,"AMD"," Radeon R5","windows",2.6,26054.0,"budget"
374,"Dell","2 in 1 Convertible",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.62,46301.0,"mid_range"
375,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"AMD"," A9-Series 9420 ",3.0,"A9","Standard",4,"SSD",256,0,"AMD"," Radeon R5","windows",1.91,26053.0,"budget"
376,"Lenovo","Netbook",11.6,1366,768,"HD",135,0,"Intel"," Celeron Quad Core N3450 ",1.1,"Celeron","Essential",4,"SSD",128,0,"Intel"," HD Graphics 500","windows",1.59,29464.0,"budget"
377,"Dell","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",4,"HDD",500,0,"Intel"," HD Graphics 400","windows",1.8,16464.0,"budget"
378,"Asus","Notebook",14.0,1366,768,"HD",112,0,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",4,"Flash storage",32,0,"Intel"," HD Graphics 500","windows",1.5,15238.0,"budget"
379,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"HDD",1024,0,"Nvidia"," GeForce GTX 1050","linux",2.4,45075.0,"mid_range"
380,"HP","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050","windows",3.35,63456.0,"upper_mid_range"
381,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"SSD",128,0,"Intel"," HD Graphics 520","no OS",1.85,21498.0,"budget"
382,"Asus","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1060","windows",2.3,88178.0,"premium"
383,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce 940MX","windows",1.5,58555.0,"upper_mid_range"
384,"Asus","Ultrabook",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",16,"SSD",512,0,"Intel"," HD Graphics 620","windows",1.1,93181.0,"premium"
385,"Lenovo","Ultrabook",14.0,2560,1440,"2K",210,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",512,0,"Intel"," HD Graphics 620","windows",1.13,121585.0,"premium"
386,"Lenovo","Notebook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",4,"SSD",128,0,"Intel"," HD Graphics 620","windows",1.5,29251.0,"budget"
387,"Dell","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 6440HQ ",2.6,"Core i5","Performance",8,"HDD",500,0,"AMD"," FirePro W5130M","windows",2.23,72940.0,"upper_mid_range"
388,"Dell","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 6820HQ ",2.7,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," Quadro M1200","windows",2.0,113753.0,"premium"
389,"Lenovo","2 in 1 Convertible",14.0,2560,1440,"2K",210,1,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",16,"SSD",512,0,"Intel"," HD Graphics 620","windows",1.42,133680.0,"premium"
390,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"HDD",1024,0,"Nvidia"," GeForce GTX 1050","windows",3.0,55358.0,"upper_mid_range"
391,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1050 Ti","windows",3.0,84768.0,"premium"
392,"Acer","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",12,"HDD",1024,0,"Nvidia"," GeForce MX130","windows",2.2,36976.0,"mid_range"
393,"MSI","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce GTX 1050 Ti","windows",2.7,71875.0,"upper_mid_range"
394,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon R7 M445","linux",2.33,41498.0,"mid_range"
395,"HP","Ultrabook",15.6,1920,1080,"Full HD",141,0,"AMD"," A9-Series 9420 ",3.0,"A9","Standard",4,"SSD",256,0,"AMD"," Radeon 520","windows",1.91,26587.0,"budget"
396,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon RX 550","windows",2.1,65511.0,"upper_mid_range"
397,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.9,49977.0,"mid_range"
398,"Dell","Workstation",15.6,3840,2160,"4K",282,1,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," Quadro M1200","windows",1.78,144495.0,"premium"
399,"Lenovo","Ultrabook",14.0,2560,1440,"2K",210,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",16,"SSD",1024,0,"Intel"," HD Graphics 620","windows",1.13,139860.0,"premium"
400,"Lenovo","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",4,"HDD",1024,0,"Intel"," HD Graphics 500","windows",2.2,16304.0,"budget"
401,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1050","windows",2.9,81465.0,"premium"
402,"Lenovo","Notebook",25.6,1920,1080,"Full HD",86,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"Hybrid",256,1024,"AMD"," Radeon RX 550","windows",2.1,60979.0,"upper_mid_range"
403,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce GTX 1050","linux",2.5,46833.0,"mid_range"
404,"MSI","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1070","windows",2.8,119827.0,"premium"
405,"Asus","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",512,0,"Intel"," HD Graphics 620","windows",1.1,99793.0,"premium"
406,"Toshiba","Ultrabook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 6500U ",2.5,"Core i7","Elite",16,"SSD",512,0,"Intel"," HD Graphics 520","windows",1.2,93080.0,"premium"
407,"Dell","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7600U ",2.8,"Core i7","Elite",8,"SSD",512,0,"Intel"," HD Graphics","windows",1.36,89510.0,"premium"
408,"Lenovo","Notebook",35.6,1920,1080,"Full HD",62,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",500,0,"Intel"," HD Graphics 520","windows",2.2,21792.0,"budget"
409,"Lenovo","Notebook",11.6,1366,768,"HD",135,0,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",2,"Flash storage",32,0,"Intel"," HD Graphics 500","windows",1.15,16221.0,"budget"
410,"Lenovo","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"SSD",512,0,"Nvidia"," Quadro M1200","windows",2.67,102564.0,"premium"
411,"Lenovo","Ultrabook",14.0,2560,1440,"2K",210,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"SSD",512,0,"Nvidia"," GeForce GT 940MX","windows",1.7,103523.0,"premium"
412,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",1024,0,"AMD"," Radeon 520","windows",2.1,24988.0,"budget"
413,"Acer","2 in 1 Convertible",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i7 6500U ",2.5,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 520","windows",1.6,42038.0,"mid_range"
414,"Asus","2 in 1 Convertible",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.27,49444.0,"mid_range"
415,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"SSD",256,0,"AMD"," Radeon R5 M430","linux",2.3,31909.0,"budget"
416,"Dell","Notebook",13.3,1366,768,"HD",118,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"SSD",128,0,"Intel"," HD Graphics 520","windows",1.65,36710.0,"mid_range"
417,"HP","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 6500U ",2.5,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 520","windows",1.43,79920.0,"upper_mid_range"
418,"Dell","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",1024,0,"Intel"," HD Graphics 620","windows",2.14,28769.0,"budget"
419,"Lenovo","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon RX 550","windows",1.75,64755.0,"upper_mid_range"
420,"Lenovo","2 in 1 Convertible",15.6,3840,2160,"4K",282,1,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," GeForce GTX 1050","windows",2.0,101179.0,"premium"
421,"Chuwi","Notebook",12.3,2736,1824,"3K",267,0,"Intel"," Celeron Quad Core N3450 ",1.1,"Celeron","Essential",6,"Flash storage",64,0,"Intel"," HD Graphics 500","windows",1.4,23923.0,"budget"
422,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7820HQ ",2.9,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 630","windows",2.31,76031.0,"upper_mid_range"
423,"Asus","Notebook",35.6,1920,1080,"Full HD",62,0,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",8,"HDD",1024,0,"Nvidia"," GeForce 940MX","linux",2.3,31808.0,"budget"
424,"Dell","Gaming",27.3,2560,1440,"2K",108,0,"Intel"," Core i7 7820HK ",2.9,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1070","windows",4.42,149131.0,"premium"
425,"Dell","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050 Ti","windows",2.62,61752.0,"upper_mid_range"
426,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"Hybrid",256,2048,"AMD"," Radeon 530","windows",2.02,60867.0,"upper_mid_range"
427,"Dell","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7600U ",2.8,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","linux",1.6,58555.0,"upper_mid_range"
428,"HP","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",12,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1070","windows",3.35,106507.0,"premium"
429,"Mediacom","2 in 1 Convertible",11.6,1920,1080,"Full HD",190,1,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",4,"SSD",32,0,"Intel"," HD Graphics 500","windows",1.16,15931.0,"budget"
430,"Samsung","Netbook",11.6,1366,768,"HD",135,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",4,"Flash storage",16,0,"Intel"," HD Graphics 400","other",1.15,14332.0,"budget"
431,"Lenovo","Notebook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.4,53813.0,"upper_mid_range"
432,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i3 7130U ",2.7,"Core i3","Standard",4,"SSD",128,0,"Intel"," HD Graphics 620","windows",1.7,31915.0,"budget"
433,"Lenovo","Workstation",15.6,3840,2160,"4K",282,0,"Intel"," Core i7 7600U ",2.8,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," GeForce 940MX","windows",2.3,130270.0,"premium"
434,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7820HQ ",2.9,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," Quadro M2200M","windows",2.5,130483.0,"premium"
435,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"AMD"," Ryzen 1600 ",3.2,"Ryzen","Performance",8,"Hybrid",256,1024,"AMD"," Radeon RX 580","windows",3.2,90310.0,"premium"
436,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",4,"HDD",500,0,"Intel"," HD Graphics 400","windows",2.1,18488.0,"budget"
437,"Google","Ultrabook",12.3,2400,1600,"2K",235,1,"Intel"," Core i7 7Y75 ",1.3,"Core i7","Elite",16,"SSD",512,0,"Intel"," HD Graphics 615","other",1.1,117163.0,"premium"
438,"Lenovo","Ultrabook",24.0,2560,1440,"2K",122,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",24,"SSD",512,0,"Intel"," HD Graphics 620","windows",1.32,126913.0,"premium"
439,"Asus","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"SSD",256,0,"Intel"," HD Graphics 620","linux",2.0,29784.0,"budget"
440,"Lenovo","Notebook",17.3,1600,900,"HD",106,0,"AMD"," A6-Series 9220 ",2.5,"A6","Standard",8,"HDD",1024,0,"AMD"," Radeon R4","windows",2.8,27652.0,"budget"
441,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",4,"SSD",256,0,"AMD"," Radeon 530","windows",2.2,39907.0,"mid_range"
442,"Lenovo","Ultrabook",12.5,1920,1080,"Full HD",176,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.36,76137.0,"upper_mid_range"
443,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Pentium Quad Core N4200 ",1.1,"Pentium","Standard",4,"SSD",128,0,"Intel"," HD Graphics 505","windows",2.2,18595.0,"budget"
444,"HP","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050","windows",2.2,58555.0,"upper_mid_range"
445,"Dell","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7440HQ ",2.8,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce 930MX","windows",1.64,62817.0,"upper_mid_range"
446,"Acer","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"HDD",500,0,"Intel"," HD Graphics 620","linux",2.4,23539.0,"budget"
447,"Dell","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Xeon E3-1505M V6 ",3.0,"Xeon","Elite",8,"Hybrid",64,1024,"Nvidia"," Quadro M620","windows",2.23,106187.0,"premium"
448,"MSI","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7300HQ ",2.5,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce GTX 1050","windows",2.2,54758.0,"upper_mid_range"
449,"Microsoft","Ultrabook",13.5,2256,1504,"2K",201,1,"Intel"," Core i7 7660U ",2.5,"Core i7","Elite",16,"SSD",512,0,"Intel"," Iris Plus Graphics 640","windows",1.25,137942.0,"premium"
450,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",128,0,"Intel"," HD Graphics 620","windows",1.91,31382.0,"budget"
451,"Dell","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 6820HQ ",2.7,"Core i7","Elite",16,"SSD",256,0,"Nvidia"," Quadro M620","windows",2.17,105228.0,"premium"
452,"HP","Workstation",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7820HQ ",2.9,"Core i7","Elite",8,"SSD",512,0,"Intel"," HD Graphics 620","windows",2.31,81732.0,"premium"
453,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.65,71662.0,"upper_mid_range"
454,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"Hybrid",128,1024,"AMD"," Radeon 530","windows",2.36,52161.0,"upper_mid_range"
455,"Dell","2 in 1 Convertible",11.6,1366,768,"HD",135,1,"Intel"," Pentium Quad Core N3710 ",1.6,"Pentium","Standard",4,"HDD",500,0,"Intel"," HD Graphics 405","windows",1.47,25521.0,"budget"
456,"Dell","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.7,"Core i7","Elite",8,"HDD",1024,0,"Nvidia"," GeForce GTX 1060","windows",4.42,109011.0,"premium"
457,"Microsoft","Ultrabook",13.5,2256,1504,"2K",201,1,"Intel"," Core M m3-7Y30 ",2.2,"Other","Uncategorized",4,"SSD",128,0,"Intel"," HD Graphics 615","windows",1.252,52694.0,"upper_mid_range"
458,"Microsoft","Ultrabook",33.5,2256,1504,"2K",81,1,"Intel"," Core i7 7660U ",2.5,"Core i7","Elite",8,"SSD",256,0,"Intel"," Iris Plus Graphics 640","windows",1.25,95851.0,"premium"
459,"HP","Notebook",17.3,1600,900,"HD",106,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",8,"SSD",256,0,"Intel"," HD Graphics 520","windows",2.5,34094.0,"mid_range"
460,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",1024,0,"Nvidia"," GeForce 940MX","windows",2.23,28984.0,"budget"
461,"Acer","Netbook",11.6,1366,768,"HD",135,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",4,"SSD",128,0,"Intel"," HD Graphics 400","windows",1.4,23177.0,"budget"
462,"Asus","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",1024,0,"Intel"," HD Graphics 620","windows",2.37,39907.0,"mid_range"
463,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",512,0,"AMD"," Radeon R7 M460","no OS",1.5,42571.0,"mid_range"
464,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7820HQ ",2.9,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," Quadro M2200M","windows",2.67,111355.0,"premium"
